Company Name,Current Year,Years_to_Bankrupt,Bankruptcy,"Total Revenue [CY 2005] ($USDmm, Historical rate)","Gross Profit [CY 2005] ($USDmm, Historical rate)","Net Income [CY 2005] ($USDmm, Historical rate)",EBITDA,"Total Current Assets [CY 2005] ($USDmm, Historical rate)","Total Assets [CY 2005] ($USDmm, Historical rate)","Total Current Liabilities [CY 2005] ($USDmm, Historical rate)","Cash from Ops. [CY 2005] ($USDmm, Historical rate)",Net_Debt_EBITDA,Profit_Margin,Net Debt,Net Workng Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,"Market Capitalization [My Setting] [1/31/2005] ($USDmm, Historical rate)","Market Capitalization [My Setting] [01/31/2006] ($USDmm, Historical rate)"
Armada Data Corporation (TSXV:ARD),2005,16.0,0.0,1.3,0.8,-0.1,0.0,0.3,0.4,0.1,-0.1,0.0,-0.1,0.0,0.2,3.3,0.0,1.6,2.2
Woodrose Ventures Corporation,2005,16.0,0.0,3.7,0.5,0.4,0.5,1.7,4.0,0.5,0.3,1.4,0.1,0.8,1.2,3.6,2.5,1.5,2.2
Adya Inc. (TSXV:ADYA),2005,16.0,0.0,17.8,7.5,0.5,1.2,3.5,4.5,1.7,0.0,0.0,0.0,0.0,1.8,2.1,0.0,3.5,2.2
Knighthawk Inc. (TSXV:KHA.H),2005,16.0,0.0,6.2,2.3,-1.2,0.9,2.4,4.3,2.6,-0.8,1.7,-0.2,1.5,-0.2,0.9,-2.0,3.1,2.2
International Baler Corporation (OTCPK:IBAL),2005,16.0,0.0,7.6,1.4,0.1,0.3,2.4,3.0,1.3,0.2,0.0,0.0,0.0,1.1,1.9,0.0,2.0,2.3
FirsTime Design Limited (OTCPK:FTDL),2005,16.0,0.0,17.8,6.9,-1.6,0.7,32.4,52.3,25.5,-1.5,42.9,-0.1,27.9,6.9,1.3,-18.5,7.0,2.4
Procyon Corporation (OTCPK:PCYN),2005,16.0,0.0,2.2,1.7,0.3,0.3,0.6,0.7,0.2,0.3,0.0,0.1,0.0,0.4,3.6,0.0,4.0,2.4
"PASSUR Aerospace, Inc. (OTCPK:PSSR)",2005,16.0,0.0,4.0,2.1,-0.7,0.3,1.3,4.7,12.2,-0.2,33.8,-0.2,9.9,-10.9,0.1,-54.5,0.9,2.5
IWG Technologies Inc.,2005,16.0,0.0,2.7,1.5,0.8,0.3,1.0,1.0,0.4,-0.3,0.0,0.3,0.0,0.6,2.3,0.0,1.2,2.5
"MICT, Inc. (NasdaqCM:MICT)",2005,16.0,0.0,7.3,2.0,0.0,0.4,6.6,6.9,5.5,-0.7,8.4,0.0,3.2,1.1,1.2,-4.9,6.1,2.6
Hodgins Auctioneers Inc.,2005,16.0,0.0,3.1,1.4,0.0,0.1,0.7,1.2,0.7,0.2,0.1,0.0,0.0,0.0,1.0,0.1,3.3,2.6
Vitreous Glass Inc. (TSXV:VCI),2005,16.0,0.0,6.0,2.3,0.3,1.6,2.6,5.0,0.6,0.9,0.0,0.0,0.0,2.0,4.4,0.0,1.8,2.7
Tellza Inc.,2005,16.0,0.0,15.1,5.7,0.1,0.8,3.3,4.4,2.6,0.4,0.2,0.0,0.1,0.7,1.3,0.4,3.5,2.7
Glassmaster Company,2005,2.0,1.0,19.3,3.0,0.1,1.2,7.4,11.8,6.7,-0.4,7.0,0.0,8.4,0.6,1.1,-23.6,0.9,2.7
"Table Trac, Inc. (OTCPK:TBTC)",2005,16.0,0.0,1.2,0.9,0.3,0.3,0.4,0.4,0.0,0.1,0.0,0.3,0.0,0.4,15.7,0.0,1.5,2.8
"Champion Parts, Inc.",2005,2.0,1.0,21.7,3.0,0.0,1.1,19.8,22.2,12.9,4.2,8.2,0.0,8.6,6.9,1.5,2.1,4.1,2.8
Dynasil Corporation of America (OTCPK:DYSL),2005,16.0,0.0,5.9,1.8,0.2,0.5,2.1,2.9,0.9,0.3,1.4,0.0,0.7,1.2,2.3,2.5,1.4,2.8
"Agent Information Software, Inc. (OTCPK:AIFS)",2005,16.0,0.0,5.2,3.9,0.3,0.5,1.2,4.0,1.1,1.3,0.0,0.1,0.0,0.1,1.1,0.0,,2.8
Iplayco Corporation Ltd.,2005,16.0,0.0,9.0,2.5,0.3,0.5,2.7,3.0,1.3,0.0,0.0,0.0,0.0,1.4,2.0,0.0,3.7,2.8
Texalta Petroleum Ltd.,2005,16.0,0.0,0.4,0.3,-0.1,0.2,0.7,1.9,0.0,0.3,0.0,-0.2,0.0,0.7,248.3,0.0,0.7,3.1
"Critical Care Systems International, Inc.",2005,1.0,1.0,261.1,54.9,-101.6,7.1,100.4,169.3,257.3,1.2,29.9,-0.4,211.7,-156.9,0.4,179.4,63.4,3.1
Bestar Inc.,2005,16.0,0.0,33.2,1.6,0.3,1.7,13.0,23.7,6.0,3.6,0.7,0.0,1.1,7.0,2.2,0.3,4.9,3.1
BluMetric Environmental Inc.,2005,16.0,0.0,4.7,1.4,-0.1,0.0,0.9,2.6,0.9,-0.2,30.1,0.0,1.0,0.0,1.0,-4.2,3.1,3.3
"Scientific Industries, Inc. (OTCPK:SCND)",2005,16.0,0.0,3.7,1.9,0.4,0.6,2.8,2.9,0.4,0.4,0.0,0.1,0.0,2.4,7.2,0.0,2.7,3.4
Teltronics Inc.,2005,6.0,1.0,46.1,18.2,3.8,3.6,15.1,17.0,15.4,-1.1,2.2,0.1,7.9,-0.3,1.0,-7.1,3.3,3.5
Organic Resource Management Inc.,2005,16.0,0.0,13.5,3.3,-0.7,0.9,2.4,10.8,3.4,0.5,2.3,0.0,2.2,-1.0,0.7,4.1,2.9,3.5
"Electronic Systems Technology, Inc. (OTCPK:ELST)",2005,16.0,0.0,2.4,1.7,0.1,0.2,2.8,3.0,0.2,0.3,0.0,0.0,0.0,2.6,15.7,0.0,3.7,3.6
Divergent Energy Services Corp. (TSXV:DVG),2005,16.0,0.0,0.9,0.8,-0.1,0.0,1.4,1.5,0.0,-0.1,0.0,-0.1,0.0,1.4,116.7,0.0,1.4,3.6
"Valentec Systems, Inc.",2005,5.0,1.0,19.0,6.5,0.4,1.4,14.6,22.7,19.6,-6.6,6.7,0.0,9.4,-5.0,0.7,-1.4,0.2,3.6
Q Holding Company,2005,3.0,1.0,96.8,10.1,-3.8,11.7,22.4,62.3,41.1,8.2,5.8,0.0,67.4,-18.7,0.5,8.2,2.9,3.7
"Calloway's Nursery, Inc. (OTCPK:CLWY)",2005,16.0,0.0,47.2,22.5,1.5,2.7,8.3,18.8,4.7,2.1,1.7,0.0,4.7,3.7,1.8,2.3,1.6,3.8
"Infinite Group, Inc. (OTCPK:IMCI)",2005,16.0,0.0,8.5,2.5,0.0,0.1,1.1,1.6,1.0,0.1,15.1,0.0,1.2,0.1,1.1,8.6,0.8,3.8
Advent-AWI Holdings Inc. (TSXV:AWI),2005,16.0,0.0,14.2,5.3,0.6,1.4,4.6,6.4,3.1,0.9,0.0,0.0,0.0,1.5,1.5,0.0,4.5,3.9
Titan Logix Corp. (TSXV:TLA),2005,16.0,0.0,5.2,2.1,0.4,0.5,2.4,2.7,0.8,0.3,0.2,0.1,0.1,1.6,3.0,0.3,1.5,3.9
Urban Communications Inc.,2005,16.0,0.0,2.1,1.0,-0.2,0.2,0.6,4.7,4.1,0.5,10.1,-0.1,2.2,-3.5,0.1,4.1,0.7,3.9
"Hydromer, Inc. (OTCPK:HYDI)",2005,16.0,0.0,8.1,4.7,-0.1,0.4,3.1,7.7,1.3,0.7,4.4,0.0,1.8,1.8,2.4,2.7,10.5,3.9
Corgenix Medical Corp.,2005,16.0,0.0,6.2,4.0,-0.7,0.7,4.6,8.6,1.1,-1.3,0.0,-0.1,0.0,3.5,4.3,0.0,2.1,4.0
Zedcor Inc. (TSXV:ZDC),2005,16.0,0.0,5.2,1.9,0.6,1.4,2.0,5.7,2.0,0.2,2.2,0.1,3.0,-0.1,1.0,12.8,,4.0
Rare Method Interactive Corp.,2005,16.0,0.0,5.4,1.0,0.1,0.2,1.4,3.8,1.1,0.0,0.0,0.0,0.0,0.3,1.2,0.0,1.4,4.0
Allin Corporation (OTCPK:ALLN),2005,16.0,0.0,14.3,7.9,-1.0,0.0,5.3,10.4,6.1,0.2,0.0,-0.1,0.0,-0.7,0.9,0.0,1.8,4.1
"Interep National Radio Sales, Inc. (OTCPK:IREP)",2005,3.0,1.0,100.1,100.1,-3.0,9.6,52.6,89.0,33.7,8.7,9.6,0.0,92.1,18.9,1.6,10.5,7.8,4.2
"Bluepoint Data, Inc.",2005,16.0,0.0,2.0,1.1,-0.3,0.5,0.3,1.7,0.4,0.4,0.7,-0.2,0.3,-0.1,0.7,0.7,1.2,4.2
"ALJ Regional Holdings, Inc. (NasdaqGM:ALJJ)",2005,16.0,0.0,102.7,10.9,-2.8,6.4,36.5,42.4,40.2,-1.3,16.0,0.0,101.9,-3.7,0.9,-80.9,12.2,4.3
"UnifiedOnline, Inc.",2005,16.0,0.0,6.9,1.9,-0.7,0.0,2.2,3.0,2.1,-1.2,26.6,-0.1,0.9,0.1,1.0,-0.8,12.6,4.4
ACL International Ltd.,2005,16.0,0.0,10.9,3.8,-4.0,1.8,3.0,17.4,3.5,-0.2,7.5,-0.4,13.5,-0.6,0.8,-57.1,6.9,4.5
Adeptron Technologies Corp.,2005,16.0,0.0,32.8,4.8,-0.4,0.8,10.3,17.0,12.1,-0.2,7.9,0.0,6.2,-1.8,0.9,-30.0,6.4,4.5
"Torotel, Inc.",2005,16.0,0.0,5.2,2.2,0.4,0.6,1.6,3.4,0.5,0.7,1.6,0.1,0.9,1.1,3.3,1.4,,4.7
iWeb Group Inc.,2005,16.0,0.0,3.0,1.8,0.2,0.6,0.6,3.3,1.8,0.8,1.6,0.1,0.9,-1.2,0.3,1.1,2.2,4.7
IEC Electronics Corp. (NasdaqGM:IEC),2005,16.0,0.0,16.5,2.4,0.2,1.4,5.1,6.7,3.3,0.8,0.9,0.0,1.2,1.7,1.5,1.4,5.3,4.8
"T.J.T., Inc. (OTCPK:AXLE)",2005,16.0,0.0,23.5,6.4,1.3,1.3,6.4,9.1,1.3,1.0,0.0,0.1,0.0,5.2,5.1,0.0,3.5,5.0
"Signature Eyewear, Inc. (OTCPK:SEYE)",2005,16.0,0.0,24.8,16.3,1.6,2.1,10.5,11.4,8.5,0.5,3.1,0.1,6.5,2.0,1.2,12.3,0.8,5.0
Op-Tech Environmental Services Inc.,2005,16.0,0.0,21.8,5.3,-0.1,1.3,8.2,13.2,4.3,-0.6,5.3,0.0,6.8,3.9,1.9,-11.9,,5.1
Winzen Properties Inc.,2005,16.0,0.0,19.4,3.9,1.6,2.8,1.1,21.8,1.5,-1.2,4.5,0.1,12.5,-0.5,0.7,-10.9,3.9,5.1
Suroco Energy Inc.,2005,16.0,0.0,0.1,0.1,0.0,0.0,6.2,6.6,0.2,0.2,0.0,0.2,0.0,5.9,25.5,0.0,,5.2
IEH Corporation (OTCPK:IEHC),2005,16.0,0.0,6.8,2.2,0.7,1.0,1.9,3.2,1.5,0.7,0.3,0.1,0.3,0.4,1.3,0.4,0.6,5.2
"Imperial Petroleum, Inc.",2005,16.0,0.0,3.6,2.3,-3.1,1.6,0.6,17.2,20.3,-1.5,11.3,-0.9,17.9,-19.7,0.0,-11.7,3.9,5.2
"Crown Crafts, Inc. (NasdaqCM:CRWS)",2005,16.0,0.0,76.1,16.4,2.7,6.6,29.9,54.7,8.2,10.0,3.2,0.0,21.0,21.7,3.7,2.1,5.4,5.2
"Internet America, Inc.",2005,16.0,0.0,10.5,3.9,-0.5,0.4,2.5,8.2,2.6,-0.5,0.0,0.0,0.0,-0.1,1.0,0.0,13.6,5.2
OneSoft Solutions Inc. (TSXV:OSS),2005,16.0,0.0,6.4,4.2,0.2,0.4,1.5,3.4,2.4,0.5,0.0,0.0,0.0,-0.9,0.6,0.0,2.4,5.3
Gateway Energy Corporation,2005,16.0,0.0,10.5,2.3,1.8,0.4,2.5,9.1,1.8,0.8,0.0,0.2,0.0,0.7,1.4,0.0,6.6,5.3
OurPet's Company,2005,16.0,0.0,6.6,1.8,0.3,0.6,3.1,4.2,2.2,-0.1,2.1,0.0,1.2,0.9,1.4,-16.3,2.9,5.4
"Microwave Filter Company, Inc. (OTCPK:MFCO)",2005,16.0,0.0,5.4,2.1,0.2,0.3,3.1,3.8,0.9,0.4,0.0,0.0,0.0,2.2,3.6,0.0,4.9,5.5
Clemex Technologies Inc.,2005,16.0,0.0,5.5,3.2,0.6,0.8,1.6,2.0,0.9,0.6,0.8,0.1,0.7,0.7,1.8,1.1,0.9,5.5
"Derma Sciences, Inc.",2005,16.0,0.0,22.8,7.2,-1.1,0.8,6.1,10.3,3.0,3.0,0.8,0.0,0.6,3.2,2.1,0.2,5.6,5.5
"Ault Global Holdings, Inc. (AMEX:DPW)",2005,16.0,0.0,10.9,3.1,0.0,0.2,5.2,5.4,2.8,0.0,0.0,0.0,0.0,2.4,1.9,0.0,7.1,5.6
CanaDream Corporation,2005,16.0,0.0,11.5,4.7,0.3,2.2,4.9,25.8,1.1,5.5,7.6,0.0,17.0,3.8,4.4,3.1,3.0,5.6
"Calero Software, LLC",2005,16.0,0.0,10.9,9.0,0.4,0.6,3.2,10.1,4.1,1.7,0.0,0.0,0.0,-0.8,0.8,0.0,8.1,5.7
AeroCentury Corp. (AMEX:ACY),2005,16.0,0.0,13.5,11.2,0.2,7.9,2.8,96.5,56.6,7.0,7.3,0.0,57.7,-53.8,0.0,8.3,4.1,5.8
Traverse Energy Ltd.,2005,16.0,0.0,0.6,0.4,0.2,0.3,2.2,4.1,0.1,0.2,0.0,0.2,0.0,2.1,29.6,0.0,3.8,5.9
"TNR Technical, Inc. (OTCPK:TNRK)",2005,16.0,0.0,8.7,2.6,0.7,1.1,6.1,6.3,0.3,-0.4,0.0,0.1,0.0,5.8,17.6,0.0,4.7,5.9
Bevo Agro Inc.,2005,16.0,0.0,18.4,5.5,0.5,3.5,7.0,33.9,7.1,3.6,5.8,0.0,20.2,-0.1,1.0,5.6,7.9,6.0
Yunhong CTI Ltd. (NasdaqCM:CTIB),2005,16.0,0.0,29.2,6.5,-0.3,2.3,12.3,23.5,14.8,2.7,6.6,0.0,14.9,-2.5,0.8,5.6,3.6,6.1
"Money Centers of America, Inc.",2005,9.0,1.0,19.4,3.6,-1.7,1.2,6.9,8.9,13.7,0.1,7.7,-0.1,9.4,-6.9,0.5,85.1,17.3,6.1
"Computer Software Innovations, Inc.",2005,16.0,0.0,24.3,7.2,-0.8,1.4,6.2,7.6,8.1,-1.1,2.8,0.0,3.9,-1.9,0.8,-3.6,,6.1
Platinum Communications Corp.,2005,16.0,0.0,1.4,1.0,-0.2,0.2,0.8,4.8,0.6,0.2,0.0,-0.2,0.0,0.2,1.3,0.0,6.7,6.1
Travelzest plc,2005,16.0,0.0,22.2,6.1,0.0,0.1,13.0,22.2,11.0,-0.4,0.0,0.0,0.0,2.0,1.2,0.0,,6.2
AMCON Distributing Company (AMEX:DIT),2005,16.0,0.0,622.1,59.2,-13.5,9.4,63.5,98.1,31.5,8.3,6.9,0.0,65.0,32.0,2.0,7.8,9.0,6.3
Ronson Corp.,2005,5.0,1.0,26.6,9.1,-0.3,1.7,5.9,12.7,6.6,-0.2,2.3,0.0,4.0,-0.8,0.9,-23.5,7.8,6.4
N-Viro International Corporation,2005,16.0,0.0,4.2,1.2,-0.3,0.0,1.2,2.6,1.2,0.3,0.0,-0.1,0.0,0.0,1.0,0.0,8.2,6.5
International Datacasting Corporation,2005,16.0,0.0,11.8,5.6,0.6,1.3,6.6,11.8,3.1,1.0,0.0,0.0,0.0,3.5,2.1,0.0,8.7,6.5
Littlefield Corporation (OTCPK:LTFD),2005,16.0,0.0,11.3,3.2,1.0,1.1,4.1,16.2,5.6,0.3,2.1,0.1,2.4,-1.5,0.7,7.7,5.9,6.5
Xponential Inc.,2005,16.0,0.0,20.3,9.9,-0.3,1.0,19.2,26.9,1.3,-2.4,11.6,0.0,11.5,17.9,14.4,-4.8,5.9,6.6
Angoss Software Corp.,2005,16.0,0.0,5.4,5.4,-0.1,0.2,3.3,3.6,3.4,-0.1,0.0,0.0,0.0,-0.1,1.0,0.0,5.2,6.7
"U.S. Aerospace, Inc. (OTCPK:USAE)",2005,12.0,1.0,6.0,1.7,0.7,0.8,1.6,2.1,3.7,-0.1,1.4,0.1,1.0,-2.1,0.4,-12.4,2.8,6.7
"Enterprise Diversified, Inc. (OTCPK:SYTE)",2005,16.0,0.0,3.7,2.6,0.6,1.4,0.2,3.5,1.9,1.3,1.4,0.2,1.9,-1.7,0.1,1.4,4.5,6.8
"Bowlin Travel Centers, Inc. (OTCPK:BWTL)",2005,16.0,0.0,21.6,8.9,0.7,2.1,6.6,19.8,2.2,1.2,1.0,0.0,2.1,4.4,3.1,1.8,8.5,6.9
"inc.jet Holding, Inc. (OTCPK:SORT)",2005,16.0,0.0,27.0,7.9,0.1,0.9,6.8,10.3,7.0,-0.9,5.0,0.0,4.3,-0.2,1.0,-5.0,,6.9
"Kingstone Companies, Inc. (NasdaqCM:KINS)",2005,16.0,0.0,12.0,10.5,0.5,1.5,20.4,22.5,15.1,0.5,7.1,0.0,10.4,5.3,1.4,21.7,19.0,6.9
"BAB, Inc. (OTCPK:BABB)",2005,16.0,0.0,5.1,3.5,0.7,0.8,2.8,7.3,1.9,1.0,0.0,0.1,0.0,0.9,1.5,0.0,6.3,7.1
Vendtek Systems Inc.,2005,16.0,0.0,38.1,1.8,-0.1,0.1,1.9,2.2,2.7,0.2,0.0,0.0,0.0,-0.8,0.7,0.0,3.1,7.1
Pacific Safety Products Inc.,2005,16.0,0.0,21.4,5.0,-1.8,0.4,8.3,14.1,4.0,-1.9,7.0,-0.1,2.7,4.3,2.1,-1.4,28.1,7.1
Pyng Medical Corp.,2005,16.0,0.0,2.4,1.3,0.2,0.3,0.9,3.1,0.5,0.1,0.4,0.1,0.1,0.4,1.8,0.9,4.1,7.2
Corning Natural Gas Holding Corporation (OTCPK:CNIG),2005,16.0,0.0,24.7,3.4,0.3,2.3,6.7,34.6,14.2,1.5,7.2,0.0,16.3,-7.5,0.5,10.8,5.6,7.4
Information Analysis Incorporated (OTCPK:IAIC),2005,16.0,0.0,10.8,2.5,0.7,0.8,2.7,2.8,1.8,0.6,0.0,0.1,0.0,0.9,1.5,0.0,3.5,7.4
Uniserve Communications Corporation (TSXV:USS),2005,16.0,0.0,13.2,8.8,-2.1,1.2,1.0,4.4,3.8,-0.2,1.9,-0.2,2.1,-2.8,0.3,-13.0,5.9,7.4
Synergy Brands Inc. (OTCPK:SYBR.Q),2005,6.0,1.0,63.4,4.0,-2.6,0.2,12.7,17.4,7.8,-4.1,32.3,0.0,7.8,5.0,1.6,-1.9,5.8,7.6
"Solitron Devices, Inc. (OTCPK:SODI)",2005,16.0,0.0,8.5,2.1,1.0,1.1,6.4,7.0,3.1,1.2,0.0,0.1,0.0,3.3,2.0,0.0,1.3,7.6
Tel-Instrument Electronics Corp. (OTCPK:TIKK),2005,16.0,0.0,11.9,5.9,0.1,0.6,6.4,7.8,1.9,1.1,0.0,0.0,0.0,4.5,3.3,0.0,7.6,7.7
